W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event
win,Leon Edwards  Kamaru Usman,0  0,120  87,0  4,0  0,Welterweight,M-DEC,5,5:00,UFC 286: Edwards vs. Usman 3
win,Justin Gaethje  Rafael Fiziev,0  0,103  97,1  0,0  0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Gunnar Nelson  Bryan Barberena,0  0,10  7,1  0,1  0,Welterweight,SUB  Armbar,1,4:51,UFC 286: Edwards vs. Usman 3
win,Jennifer Maia  Casey O'Neill,0  0,145  137,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Marvin Vettori  Roman Dolidze,0  0,106  71,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Jack Shore  Makwan Amirkhani,0  0,28  10,1  1,1  0,Featherweight,SUB  Rear Naked Choke,2,4:27,UFC 286: Edwards vs. Usman 3
win,Chris Duncan  Omar Morales,0  0,53  47,5  0,0  0,Lightweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Yanal Ashmouz  Sam Patterson,0  0,15  2,1  0,0  0,Lightweight,KO/TKO  Punches,1,1:15,UFC 286: Edwards vs. Usman 3
win,Muhammad Mokaev  Jafel Filho,0  0,16  9,4  0,2  2,Flyweight,SUB  Neck Crank,3,4:32,UFC 286: Edwards vs. Usman 3
win,Lerone Murphy  Gabriel Santos,0  0,93  69,1  5,0  0,Featherweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Christian Duncan  Dusko Todorovic,0  0,9  4,0  0,0  0,Middleweight,KO/TKO,1,1:52,UFC 286: Edwards vs. Usman 3
win,Jake Hadley  Malcolm Gordon,1  0,10  3,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:01,UFC 286: Edwards vs. Usman 3
win,Joanne Wood  Luana Carolina,0  0,131  100,2  0,0  0,Women's Flyweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
draw draw,Jai Herbert  Ludovit Klein,0  0,43  47,1  2,0  0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Veronica Hardy  Juliana Miller,0  0,62  30,4  0,0  3,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Merab Dvalishvili  Petr Yan,0  0,147  75,11  1,0  0,Bantamweight,U-DEC,5,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Alexander Volkov  Alexandr Romanov,0  0,12  0,0  0,0  0,Heavyweight,KO/TKO  Punches,1,2:16,UFC Fight Night: Yan vs. Dvalishvili
win,Nikita Krylov  Ryan Spann,0  0,7  5,2  1,2  1,Catch Weight,SUB  Triangle Choke,1,3:38,UFC Fight Night: Yan vs. Dvalishvili
win,Jonathan Martinez  Said Nurmagomedov,0  0,38  47,0  3,1  2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Mario Bautista  Guido Cannetti,0  0,3  2,3  1,1  0,Bantamweight,SUB  Rear Naked Choke,1,3:18,UFC Fight Night: Yan vs. Dvalishvili
win,Vitor Petrino  Anton Turkalj,0  0,39  33,7  5,1  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Karl Williams  Lukasz Brzeski,1  0,38  26,8  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Davey Grant  Raphael Assuncao,1  0,65  42,0  5,1  0,Bantamweight,SUB  Inverted Triangle,3,4:43,UFC Fight Night: Yan vs. Dvalishvili
win,Josh Fremd  Sedriques Dumas,0  0,33  20,2  0,2  0,Middleweight,SUB  Guillotine Choke,2,3:00,UFC Fight Night: Yan vs. Dvalishvili
win,Victor Henry  Tony Gravely,0  0,154  75,0  3,2  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Ariane Lipski  JJ Aldrich,0  0,101  49,2  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Bruno Silva  Tyson Nam,1  0,23  12,0  0,1  0,Flyweight,SUB  Rear Naked Choke,2,1:23,UFC Fight Night: Yan vs. Dvalishvili
win,Carlston Harris  Jared Gooden,0  0,63  51,5  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Jon Jones  Ciryl Gane,0  0,5  6,2  0,1  0,Heavyweight,SUB  Guillotine Choke,1,2:04,UFC 285: Jones vs. Gane
win,Alexa Grasso  Valentina Shevchenko,0  0,59  87,0  4,1  0,Women's Flyweight,SUB  Rear Naked Choke,4,4:34,UFC 285: Jones vs. Gane
win,Shavkat Rakhmonov  Geoff Neal,0  0,113  69,0  0,1  0,Welterweight,SUB  Rear Naked Choke,3,4:17,UFC 285: Jones vs. Gane
win,Mateusz Gamrot  Jalin Turner,0  1,29  40,4  0,0  0,Lightweight,S-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Bo Nickal  Jamie Pickett,0  0,1  1,1  0,2  0,Middleweight,SUB  Arm Triangle,1,2:54,UFC 285: Jones vs. Gane
win,Cody Garbrandt  Trevin Jones,0  0,26  20,2  1,0  1,Bantamweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Dricus Du Plessis  Derek Brunson,1  0,71  37,1  1,1  1,Middleweight,KO/TKO  Punches,2,4:59,UFC 285: Jones vs. Gane
win,Amanda Ribas  Viviane Araujo,0  0,98  46,2  0,0  2,Women's Flyweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Marc-Andre Barriault  Julian Marquez,0  0,109  82,0  0,0  0,Middleweight,KO/TKO  Punches,2,4:12,UFC 285: Jones vs. Gane
win,Ian Garry  Song Kenan,1  1,127  55,0  2,0  0,Welterweight,KO/TKO  Punches,3,4:22,UFC 285: Jones vs. Gane
win,Cameron Saaiman  Mana Martinez,1  0,117  60,1  0,0  0,Bantamweight,M-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Tabatha Ricci  Jessica Penne,0  0,36  6,4  0,1  0,Women's Strawweight,SUB  Armbar,2,2:14,UFC 285: Jones vs. Gane
win,Farid Basharat  Da'Mon Blackshear,0  0,58  46,3  1,0  1,Bantamweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Loik Radzhabov  Esteban Ribovics,0  1,40  66,11  0,0  1,Lightweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Brendan Allen  Andre Muniz,0  0,42  43,1  0,2  0,Middleweight,SUB  Rear Naked Choke,3,4:25,UFC Fight Night: Muniz vs. Allen
win,Augusto Sakai  Don'Tale Mayes,0  0,53  29,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen
win,Tatiana Suarez  Montana De La Rosa,0  0,10  5,2  0,1  0,Women's Flyweight,SUB  Guillotine Choke,2,2:51,UFC Fight Night: Muniz vs. Allen
