,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
1,Tom,Aaron,,70,155.0,71,Unknown,5.0,3.0,0.0,welterweight
2,Danny,Abbadi,The Assassin,71,155.0,71,Orthodox,4.0,6.0,0.0,welterweight
3,Nariman,Abbasov,Bayraktar,68,155.0,66,Orthodox,28.0,4.0,0.0,welterweight
4,David,Abbott,Tank,72,265.0,71,Switch,10.0,15.0,0.0,super heavyweight
5,Hamdy,Abdelwahab,The Hammer,74,264.0,72,Southpaw,5.0,0.0,0.0,heavyweight
6,Shamil,Abdurakhimov,Abrek,75,235.0,76,Orthodox,20.0,8.0,0.0,heavyweight
7,Hiroyuki,Abe,Abe Ani,66,145.0,71,Orthodox,8.0,15.0,3.0,lightweight
8,Daichi,Abe,,71,170.0,71,Orthodox,6.0,2.0,0.0,middleweight
9,Papy,Abedi,Makambo,71,185.0,71,Southpaw,10.0,4.0,0.0,light heavyweight
10,Ricardo,Abreu,Demente,71,185.0,71,Orthodox,5.0,1.0,0.0,light heavyweight
11,Klidson,Abreu,White Bear,72,205.0,74,Orthodox,15.0,4.0,0.0,heavyweight
12,Daniel,Acacio,,68,180.0,71,Orthodox,30.0,18.0,0.0,middleweight
13,John,Adajar,The Outlaw,69,170.0,75,Orthodox,6.0,2.0,0.0,middleweight
14,Scott,Adams,,72,225.0,71,Southpaw,8.0,1.0,0.0,heavyweight
15,Juan,Adams,The Kraken,77,265.0,80,Orthodox,5.0,3.0,0.0,super heavyweight
16,Anthony,Adams,Sugafoot,73,185.0,76,Orthodox,8.0,2.0,0.0,light heavyweight
17,Zarrukh,Adashev,The Lion,65,125.0,65,Southpaw,4.0,4.0,0.0,bantamweight
18,Israel,Adesanya,The Last Stylebender,76,185.0,80,Switch,23.0,2.0,0.0,light heavyweight
19,Sam,Adkins,The Experience,75,225.0,71,Orthodox,7.0,20.0,2.0,heavyweight
20,Nick,Agallar,,68,155.0,71,Orthodox,24.0,6.0,0.0,welterweight
21,Mariya,Agapova,Demonslayer,66,125.0,68,Southpaw,10.0,4.0,0.0,bantamweight
22,Marcelo,Aguiar,,70,170.0,71,Orthodox,2.0,3.0,1.0,middleweight
23,Fabio,Aguiar,,72,185.0,71,Unknown,17.0,1.0,0.0,light heavyweight
24,Edwin,Aguilar,Tigre,70,185.0,71,Unknown,26.0,19.0,0.0,light heavyweight
25,Jessica,Aguilar,Jag,63,115.0,63,Orthodox,20.0,8.0,0.0,flyweight
27,Niklas,Backstrom,,73,145.0,71,Orthodox,11.0,3.0,0.0,lightweight
28,Seth,Baczynski,The Polish Pistola,75,170.0,75,Orthodox,20.0,14.0,0.0,middleweight
29,Abdul Azeem,Badakhshi,The Afghan Lion,70,145.0,71,Unknown,13.0,3.0,0.0,lightweight
30,Ryan,Bader,Darth,74,205.0,74,Orthodox,23.0,5.0,0.0,heavyweight
31,Izabela,Badurek,,65,115.0,71,Orthodox,6.0,3.0,0.0,flyweight
32,Miguel,Baeza,Caramel Thunder,74,170.0,74,Orthodox,10.0,3.0,0.0,middleweight
33,Ali,Bagautinov,Puncher,64,125.0,65,Orthodox,15.0,6.0,0.0,bantamweight
34,Mehdi,Baghdad,The Sultan,73,155.0,71,Orthodox,11.0,5.0,0.0,welterweight
35,Melsik,Baghdasaryan,The Gun,69,145.0,70,Southpaw,7.0,2.0,0.0,lightweight
